Rank	Game	Score	VoteCount	Years
1	Garry's Mod	8.75	1149179	2006
2	STAR WARS™ Empire at War - Gold Pack	8.59	38739	2006
3	Half-Life 2: Episode One	8.43	31890	2006
4	Total War: MEDIEVAL II – Definitive Edition	8.43	32964	2006
5	FlatOut 2	8.41	18390	2006
6	Insaniquarium Deluxe	8.35	5799	2006
7	Company of Heroes	8.28	16706	2006
8	Warhammer 40,000: Dawn of War - Anniversary Edition	8.28	11023	2006
9	Feeding Frenzy 2 Deluxe	8.27	2284	2006
10	Hitman: Blood Money	8.24	13841	2006
11	Zuma Deluxe	8.23	5193	2006
12	Company of Heroes - Legacy Edition	8.13	6955	2006
13	Dark Messiah of Might & Magic	8	10615	2006
14	EMERGENCY 4 Deluxe	7.95	1810	2006
15	Chuzzle Deluxe	7.95	1241	2006
16	Bejeweled 2 Deluxe	7.9	621	2006
17	Pizza Frenzy Deluxe	7.88	217	2006
18	Rogue Trooper	7.87	474	2006
19	Dynomite Deluxe	7.85	344	2006
20	Toribash	7.84	16675	2006
21	Uplink	7.84	2358	2006
22	Disney•Pixar Cars	7.82	2542	2006
23	Microsoft Flight Simulator X: Steam Edition	7.71	25491	2006
24	Marc Eckō's Getting Up: Contents Under Pressure	7.69	2116	2006
25	SiN Episodes: Emergence	7.68	1245	2006
26	Tomb Raider: Legend	7.68	5306	2006
27	Heroes of Might & Magic V	7.67	3770	2006
28	IL-2 Sturmovik: 1946	7.67	2962	2006
29	DEFCON	7.65	4150	2006
30	Civilization IV®: Warlords	7.62	478	2006
31	Condemned: Criminal Origins	7.6	3860	2006
32	Talismania Deluxe	7.59	80	2006
33	GTR 2 FIA GT Racing Game	7.59	314	2006
34	Red Orchestra: Ostfront 41-45	7.58	2464	2006
35	Big Money! Deluxe	7.58	154	2006
36	The Ship: Murder Party	7.57	5947	2006
37	Faces of War	7.56	1088	2006
38	Take Command - 2nd Manassas	7.5	77	2006
39	Sacred Gold	7.5	4145	2006
40	Zen of Sudoku	7.49	332	2006
41	Disciples II: Rise of the Elves	7.49	1305	2006
42	Bejeweled Deluxe	7.43	254	2006
43	Joint Task Force	7.37	308	2006
44	Hearts of Iron 2 Complete	7.36	620	2006
45	Mystery Case Files: Ravenhearst®	7.35	147	2006
46	Iggle Pop Deluxe	7.35	76	2006
47	Typer Shark! Deluxe	7.34	397	2006
48	Heroes of Annihilated Empires	7.32	721	2006
49	King's Quest™ Collection	7.32	358	2006
50	Virtual Villagers: A New Home	7.31	154	2006
51	Dreamfall: The Longest Journey	7.29	1140	2006
52	Gothic® 3	7.29	11211	2006
53	Heavy Weapon Deluxe	7.26	366	2006
54	Heroes of Might & Magic V: Hammers of Fate	7.24	340	2006
55	Disciples II: Gallean's Return	7.23	1503	2006
56	Space Empires IV Deluxe	7.19	267	2006
57	Space Quest™ Collection	7.19	371	2006
58	Pyramid Runner	7.17	13	2006
59	Xpand Rally	7.15	555	2006
60	Shadowgrounds	7.14	1555	2006
61	Darkstar One	7.09	574	2006
62	18 Wheels of Steel: Haulin’	7.08	108	2006
63	Keepsake	7.07	339	2006
64	Geneforge 4: Rebellion	7.06	46	2006
65	Mystery Case Files: Prime Suspects™	7.05	70	2006
